FIPS Code,County,week_start,avg_temp_K,max_temp_K,min_temp_K,precip_sum,rh_avg,wind_speed_avg,wind_gust_max,vpd_avg
42001,ADAMS,2021-12-27,284.226,289.041,277.358,243.798,91.72666666666667,1.8730666666666667,9.202,0.11206666666666668
42001,ADAMS,2022-01-03,271.1920761904762,280.989,262.671,269.87399999999997,68.69238095238094,3.9609714285714284,12.435,0.1684
42001,ADAMS,2022-01-10,269.4065428571429,281.212,258.344,75.967,62.381904761904764,3.709104761904762,15.661,0.18035238095238096
42001,ADAMS,2022-01-17,270.35460952380953,281.115,257.824,369.782,65.25904761904762,4.1439619047619045,18.108,0.1789047619047619
42001,ADAMS,2022-01-24,268.9421142857143,277.146,257.852,27.302,62.950476190476195,3.0079238095238097,13.097,0.16494285714285714
42001,ADAMS,2022-01-31,272.134180952381,287.023,262.193,472.023,74.57047619047619,3.0043142857142855,10.677,0.13627619047619047
42001,ADAMS,2022-02-07,270.6934761904762,282.1,265.416,65.021,65.17809523809524,1.9202190476190475,7.144,0.18365714285714285
42001,ADAMS,2022-02-14,269.56034285714287,278.193,262.057,105.111,62.91809523809523,2.2918190476190476,9.131,0.17842857142857144
42001,ADAMS,2022-02-21,277.8843904761905,292.486,267.438,246.701,61.90761904761905,4.373523809523809,15.98,0.36782857142857145
42001,ADAMS,2022-02-28,278.05412380952384,297.479,263.498,3.94,54.94761904761905,3.393847619047619,14.07,0.424047619047619
42001,ADAMS,2022-03-07,277.8000380952381,296.077,262.092,520.049,68.90666666666667,3.793228571428571,14.515,0.31426666666666664
42001,ADAMS,2022-03-14,284.49505714285715,296.881,266.894,27.085,61.30285714285714,3.104619047619048,14.755,0.5941428571428571
42001,ADAMS,2022-03-21,280.39813333333336,292.779,270.142,106.635,63.68666666666667,3.5736285714285714,14.97,0.40121904761904764
42001,ADAMS,2022-03-28,274.2968285714286,290.025,264.399,214.547,53.037142857142854,5.145485714285714,15.997,0.3299047619047619
42001,ADAMS,2022-04-04,281.0724761904762,288.546,272.602,419.358,73.67238095238096,3.043857142857143,12.189,0.28532380952380954
42001,ADAMS,2022-04-11,287.3577523809524,301.735,272.299,6.878,51.41142857142857,3.150266666666667,12.3,0.8828380952380952
42001,ADAMS,2022-04-18,283.0005523809524,300.866,272.068,350.087,61.93428571428572,3.6479238095238093,13.537,0.5641047619047619
